report_date,stock_code,company_name,title,summary,gap_score
2020-10-22,1,平安银行,1-3Q2020业绩点评：3Q净利增速回升，源于资产质量改善反哺,平安银行发布三季报，公司1-3Q2020营收增13%至1166亿，净利降5.2%至224亿，其中3Q营收增8.8%至382亿，净利增6.1%至87亿。3Q利润增速转正，系公司在资产质量改善的背景下信用成本改善所致。从收入端来看，源于前三季度信贷放量，推升利息净收入实现近两位数增长。息差方面，继续回落。非息收入方面，基金销售向好及对公业务恢复推动手续费快速。资产质量方面，3Q有所改善，居民类信贷及企业类信贷质量均向好。展望未来，尽管银行业息差依旧有压力，不过在国内疫情基本得到控制的背景下，零售类贷款或继续边际改善，且对公贷款或持续受益于基建投资放量。综上而言，我们维持“买进”的投资建议。,0.09537244
2020-10-26,1,平安银行,平安银行：净利润增速回正，资产质量拐点已现,"事件： 平安银行发布三季报， 2020 年前三季度实现营业收入1165.64 亿元， 同比增长 13.2%；归母净利润 223.98 亿元,同比下滑5.2%。不良率 1.32%， 较上年末及三季度末下降 33BP；拨备覆盖率218.29%，较上年末提升 35.17 个百分点。
三季度净利润增速回正，拨备计提压力下降是主因。 前三季度归母净利润同比下降 5.2%，三季度单季同比增长 6.1%。三季度净利润增速较上季度有较大幅度的改善，拨备计提压力下降是主因。三季度确认信用减值损失 159 亿元，同比增长 15%，环比下降 29%。",0.2015664
2020-12-01,1,平安银行,金融科技赋能，零售对公协同发展,"平安银行依托集团资源优势，零售转型成效显现，零售板块收入和税前利润贡献度已过半。同时随着公司对公业务调整逐步，存量资产质量包袱减轻，基本面改善明显，主营业务表现向好。公司 2019 年提出“对公做精”战略，与集团综合金融平台形成的协同效应值得期待。维持买入评级。
支撑评级的要点",1.0203416
2020-12-28,1,平安银行,积极进取的零售银行，受益于经济复苏，消费端回暖,"结论与建议：
平安银行在今年疫情冲击的大宏观环境下，业绩表现出一定的压力，但已经边际改善。从零售获客方面来看，在零售客户快速增长背景下做大AUM，从而派生海量的存款，实现其较低的负债端优势。展望未来，我们认为银行行业压力最大的时刻即将过去：1、逆周期调节背景下政策方面监管要求让利的条件将消退；2、货币政策回归正常化背景下，有利于银行资产端定价；3、我们认为，在经济企稳回升的背景之下，消费逐渐恢复，企业现金流改善，对银行行业零售和对公业务均有帮助。平安银行作为行业零售银行标杆，将充分受益于经济复苏及消费端回暖，并带来业绩弹性。综上而言，我们维持“买进”的投资建议。",0.054870784
2021-02-01,1,平安银行,打造全球领先的智能化零售银行,推荐逻辑：1.平安银行是平安集团金融生态圈中唯一一家全国性股份制商业银行，依托集团的客户基础、品牌影响力、广泛的分销渠道、科技实力和综合服务的能力，乘风破浪，实现综合实力快速提升，2020年Q3总资产规模超过4.3万亿，同比增长17.2%，存贷款规模稳步扩大，近年来贷款规模增速维持在15%以上。2.在零售化浪潮中，公司凭借天然优势迅速扩张，零售业务收入利润贡献占比提升至50%以上，在“零售突破”战略指引下，零售业务有望稳健增长，巩固收入端优势，优化负债端结构。3.资产质量持续改善，2020Q3总体及分业务不良率均有所下降，经济基本面转好后拨备计提压力降低有利于业绩的改善。,0.71392125
2021-02-02,1,平安银行,全年归母净利润增速转正，零售转型值得赞许,"事件： 公司发布 2020 年报，全年营收 1535.42 亿、 同比+11.30%，归母净利 289.28亿，同比+2.60%；Q4 营收同比+5.65%，归母净利同比+42.76%、环比-25.11%。
全年净息差同比-9bp 至 2.53%",0.6862216
2021-02-02,1,平安银行,2020年年报点评：四季度利润强劲反弹43%，不良率降至近六年新低,"事件：平安银行 2020 年归属于本行股东净利润增速+2.6%，第四季度单季盈利增速+42.8%； 2020 年末不良率 1.18%，环比继续降低 14BP，拨备覆盖率保持 201.40%；累计净息差环比下行 3BP 至 2.53%，单季度净息差环比下行 4BP 至 2.44%。
盈利预测与投资建议： 2 月金股重点推荐平安银行，利润强劲反弹+不良全面夯实。平安银行第四季度净利润大幅增长 43%，全年盈利增速转正，同时不良率环比降低14BP 至 1.18%，达到 2015Q1 以来最佳水平。作为核心零售银行，我们继续重点推荐平安银行：①行业层面，优质银行股已经完全走出 2020 年经营困境，看好银行股继续上涨；公司层面，平安银行当前估值仍然相对较低，预计 2021 年盈利高弹性增长。我们预计平安银行 2021、2022 年净利润增速+17.2%、+14.6%（上调），当前估值 1.45x2021PB、14.4x2021PE，维持“买入”评级。",0.052732825
2021-02-02,1,平安银行,轻装上阵，优化内核,"平安银行2020年主营业务收入增速预计仍保持同业前列，手续费收入表现亮眼。公司做实核心指标，存款表现向好，夯实表内外资产质量基础。公司与集团综合金融平台形成的协同效应值得期待。维持买入评级。
支撑评级的要点",0.765414
2021-02-02,1,平安银行,零售对公业务亮点纷呈，资产质量持续改善,"事件：2月1日，平安银行公布2020年年报。
点评：",1.158649
2021-02-03,1,平安银行,年报点评报告：资产质量持续改善 零售端持续发力,"事件:
2021年2月2日，平安银行发布2020年年度业绩。",1.0776597
2021-02-03,1,平安银行,平安银行年报点评：表外理财回表，2021年轻装上阵,"事件： 平安银行发布年报， 2020 年实现营收 1535.42 亿元，同比增长 11.3%，归母净利润 289.28 亿元，同比增长 2.6%。截至 2020 年末，不良贷款率 1.18%，较 2019 年末下降 0.47 个百分点。
点评：",0.9552456
2021-04-21,1,平安银行,业绩超预期、出清历史包袱资产质量更优,"事件： 公司发布 Q121 财报， 营收 417.88 亿、 同比+10.18%， 归母净利润 101.32 亿，同比+18.53%； PPOP 同比+10.03%，加权平均 ROE 同比+78bp 至 12.28%。
净息差同比-1bp 至 2.87%",0.50878596
2021-04-21,1,平安银行,净利润双位数增长，资产质量持续改善,"事件：4月20日，平安银行公布2021年一季报。
点评：",1.1071775
2021-04-21,1,平安银行,平安银行一季报点评：业绩高速增长，资产质量指标全面改善,"事件：平安银行发布一季报，一季度实现营业收入417.88亿元，同比增长10.2%；实现归母净利润101.11亿元，同比增长18.5%。截至一季度末，不良贷款率1.10%，较上年末下降0.08个百分点，拨备覆盖率为245.16%，较上年末上升43.76个百分点。
点评：",0.081484675
2021-04-21,1,平安银行,由资产质量引发的超预期高增长！,事件：平安银行2021年一季度营业收入417.88亿元，同比增长10.2%；净利润101.32亿元，同比增长18.5%，对应EPS为0.42元/股。期末总资产4.57万亿，较期初增长2.3%；归属于本行普通股股东净资产3026.73亿元，较期初增长2.9%，对应BVPS为15.60元/股。平安银行一季度业绩高速增长，显著超出市场预期，也高于我们此前的预期。,0.03694582
2021-04-22,1,平安银行,2021年一季报：业绩表现优秀，资产质量进一步夯实,"事件描述：公司发布2021年一季报，Q1公司实现营业收入417.9亿元，同比+10.2%；实现净利润101.3亿元，同比+18.5%；年化加权平均净资产收益率12.28%，同比+0.78个百分点。
在高基数上实现稳健增长，盈利能力提升。21年Q1末，公司资产与发放贷款和垫款总额分别环比去年末+2.3%、+4.2%，负债与吸收存款环比分别+2.3%、+2.5%，资产负债稳健扩张。21Q1利息净收入、非息收入分别实现297.7亿元、120.2亿元，同比分别+8.6%、14.5%，非息收入占比同比提升1.1个百分点至28.8%，非息收入占比提升主要受益于财富管理业务、信用卡业务等手续费收入增长。Q1成本收入比为28.12%，同比提升0.18个百分点。公司净利润增速创2015年以来同期最高水平，盈利能力提升明显，表现优秀。",0.03334874
2021-04-22,1,平安银行,2021年一季报点评：盈利实现高增，资产质量改善明显,"业绩增长与资产质量改善明显。2021年1-3月，平安银行实现营业收入417.8亿元，同比增长10.2%；归母净利润101.3亿元，同比增长18.5%；PPOP为296.2亿元，同比增长10.0%。不良率为1.10%，较2020年报-8bps，拨备覆盖率为245%，较2020年报+43pct。
私行财富AUM维持高增，零售数据亮眼。截至2021年3月末，平安银行管理零售客户资产（AUM）28,026.10亿元，较上年末增长6.8%；零售客户数1.1亿户，较上年末增长12%；平安口袋银行APP注册用户数1.1亿户，较上年末增长4.2%，其中，月活跃用户数（MAU）3,796万户，同比大幅增长22%。2021年一季度，平安银行深入推动基础零售“做实”，通过升级组织架构及业务模式，在获客、经营、平台建设、客户服务等方面取得了新的阶段性成果。",0.015272677
2021-04-23,1,平安银行,多面开花，业绩卓然,"平安银行1季度业绩表现超市场预期，公司财富管理持续发力，做实核心指标，存款成本管控成效显现，夯实表内外资产质量基础。公司与集团综合金融平台形成的协同效应在多项业务逐步显现。维持买入评级。
支撑评级的要点",0.056859493
2021-04-27,1,平安银行,点评报告：零售业务增长强劲，资产质量仍在改善,"报告关键要素:
2021年4月21日，平安银行公布2021年一季度业绩。",1.1456696
2021-08-19,1,平安银行,此玉已烧三日满：透视平安银行零售转型,"转型进程：零售转型已入佳境
在我们零售转型的一般理论下，银行零售转型历经四个步骤：（ 1）资产端的零售化；（2）负债端的零售化；（3）中间业务的多元化；（4）金融科技驱动下的经营良性循环。",0.17963886
2021-08-19,1,平安银行,H121归母净利润同比+28.5%,"事件：公司发布2021中报，营收846.8亿元、同比+8.1%；拨备前利润607亿元，同比+8.1%；归母净利润175.8亿元，同比+28.5%；年化加权ROE10.74%，同比+1.41pts。Q2归母净利74.5亿元，同比+45.2%、环比-26.5%。
净息差维持较高位，资产质量持续改善：H221平银净息差同比-4bp至2.83%，但相对2018-20年2.35-2.62%和招行、兴业等2.3-2.5%的水平仍处相对高位。利差收窄主要系市场利率环境影响，负债平均成本2.22%，同比降20bp，其中吸收存款平均成本2.05%，同比降30bp。不良率同比-10bp至1.08%，自2018年以来资产质量持续优化，在上市银行中表现优秀。拨备覆盖率259.53%，同比+58.13pts；资本充足率12.58%，同比-0.71pts，均处上市银行中档水平。",0.6029191
2021-08-20,1,平安银行,点评报告：财富管理业务保持较快增长,"2021年8月20日，平安银行发布2021年半年度报告。
拨备前利润同比增长8.1%，归母净利润同比增长28.5%：收入端，利息净收入同比增长6.8%，手续费净收入同比增长20.43%。拨备端，非信贷资产拨备计提力度加大。",0.03203261
2021-08-20,1,平安银行,业绩保持快增，资产质量向好,"平安银行上半年业绩增速预计为上市银行领先水平，资产质量向好、拨备计提压力减弱对业绩带来显著正向贡献。公司私行、 财富业务推进积极，财富管理和私行客户 AUM 保持高增；继续做实核心指标，存款成本优化持续。公司 2季末核心一级资本充足率为 8.49%，关注后续资本补充情况。维持买入评级。
支撑评级的要点",0.023827672
2021-08-20,1,平安银行,归母净利润增速大超预期,"主要观点：
整体：归母净利润同比增长 28.5%",0.11265659
2021-08-22,1,平安银行,2021年中报点评：资产质量达到历史最佳状态,"事件：平安银行2021年上半年营业收入846.80亿元，同比增长8.1%；净利润175.83亿元，同比增长28.5%。6月末总资产4.72万亿元，较年初增长5.7%；归母普通股股东净资产3072.49亿元，较年初增长4.4%。在一季度业绩高增长基础上，平安银行上半年净利润再超市场预期。
收入在高基数下同比增速足够优异，净利润增速超市场预期。2021H1营业收入同比增长8.1%，较一季度增速走低，但考虑2020Q2的收入基数很高（投资收益驱动），所以我们认为2021H1的收入同比增速已经足够优秀。其中，利息净收入2021H1同比增长6.8%，手续费净收入2021H1同比强劲增长20.4%。手续费收入中，2021H1财富管理收入同比增长12.1%，其中代理基金收入同比大幅增长172.6%。此外，6月末零售AUM达到2.98万亿元，较年初增长13.6%。由于2020H1大幅计提了信用减值，而实际资产质量又持续向好，所以2021H1信用减值金额同比降低2.2%，推动2021H1净利润同比增速达到28.5%，对应2021Q2单季同比增长45.2%，高于市场预期。",0.03743285
2021-08-22,1,平安银行,资产质量表现优异，私行财富发展迅猛,"事件：8月19日，平安银行公布2021年中报。
拨备计提力度减小，上半年净利润高增。1H21平安银行营收、PPOP、归母净利润同比分别增8.1%、8.1%、28.5%。盈利归因来看，净利润增长的最大贡献来自拨备，即减少拨备计提、释放利润。上半年公司共计提信用减值损失382.9亿，同比下降0.5%；其中，贷款减值损失251.2亿，同比下降22.2%；非信贷资产拨备131.6亿，同比增112.7%。",0.065261304
2021-08-23,1,平安银行,财富管理领先，拨备缓释业绩超预期,"事件描述
公司 2021 年上半年实现营业收入 846.80 亿元，同比+8.1%；归母净利润175.83 亿元，同比+28.5%； 平均年化 ROA 0.77%， 增加 0.10 个百分点；加权平均年化 ROE 10.74%， 增加 1.41 个百分点。",0.12261993
2021-09-23,1,平安银行,零售转型标杆 集团联动赋能,"我们认为公司业绩存在高增的空间。一方面随着公司深化集团联动，打造“商行+投行+投资”模式，公司客户数将维持高增，业务将保持高速扩张。另一方面，随着公司资产质量持续好转，信用减值损失计提充分，将具备释放利润的空间。
公司零售转型战略执行卓有成效。自2016年12月谢永林先生和胡跃飞先生出任董事长和行长以来，公司战略向零售转型，零售金融营业收入占全部营收比重持续提升。自向零售转型以来，除20年受疫情影响外，公司ROE和ROA基本企稳，公司营收增速和归母净利润增速呈现上升趋势。",1.0529374
2021-10-21,1,平安银行,2021年三季报点评：利润超预期，中收有潜力,"事件：平安银行2021年前三季度营业收入1271.90亿元，同比增长9.1%；净利润291.35亿元，同比增长30.1%。9月末总资产4.85万亿元，较年初增长8.6%；归属于母公司普通股股东净资产3189.14亿元，较年初增长8.4%。平安银行三季报净利润同比高增速超出市场预期。
收入在低基数下加速增长。公司前三季度收入同比增速9.1%，较上半年8.1%回升，主要源于2020Q2基数高、2020Q3基数低。收入结构中：①前三季度利息净收入同比增长5.9%，较上半年6.8%增速下行，反映净息差收窄，我们认为作为高息差银行，前三季度净息差相比上半年小幅收窄2BP至2.81%符合预期，主要源于零售贷款利率降低。②手续费净收入降速，前三季度累计同比增长11.4%，对应第三季度单季同比下滑4%。③投资收益第三季度单季强劲同比增长4.11倍（去年基数非常低）。",0.037295163
2021-10-21,1,平安银行,零售客户高增长，资产质量优化,"主要观点：
整体：归母净利润同比增长 30.1%",0.13561016
2021-10-21,1,平安银行,业绩保持高速增长，非息净收入占比稳步提升,"事件：公司前三季度营收1271.90亿元、同比+9.1%，拨备前利润893.18亿元、同比+7.2%，归母净利润291.35亿元、同比+30.1%。
前三季度净息差同比-7bp至2.81，Q3单季度净息差环比-4bp降幅收窄",0.36697
2021-10-21,1,平安银行,点评报告：财富管理业务维持高速增长,"报告关键要素:
2021年10月21日，平安银行发布2021年三季度业绩报告。",1.1257136
2021-10-22,1,平安银行,业绩持续高增长，财富科技战略积极推进,季报摘要：平安银行2021年前三季度归母净利润115.52亿，同比增长30.1%。同比规模、拨备和非息贡献业绩高增，息差下行。净利息收入同比增长5.9%，净手续费收入同比增长11.4%，全部非息同比增长17.6%，营业收入同比增长9.1%，总资产较年初增长8.6%，贷款较年初增长11.7%，存款增长10.4%。不良率1.05%%，拨备覆盖率268%，核心一级资本充足率8.56%。,0.059061766
