layer,rank_ic,p_value
1,0.13872919872919875,1.0685211261592149e-05
2,0.12387377187377188,8.584448893115113e-05
3,0.10652987852987854,0.0007404054785329363
4,0.10897740097740098,0.0005561510704008513
5,0.04278797478797479,0.17637485193459987
6,0.09438952638952638,0.0028099476675305123
7,0.08776556776556778,0.00548158629805564
8,0.07978643578643578,0.011604853521907401
9,0.5709338829338829,1.4360452115005593e-87
10,0.6898606978606979,3.5275672035206156e-142
11,0.7555902355902357,1.4520002932888299e-185
12,0.8036028356028357,3.852758518120635e-227
