section,name,rank_ic,ic_t,newey_west_t,icir,hit_ratio,n_periods,p_value,fdr_p,bonferroni_p,spec,coef,t,avg_r2
factor_tests,FinBERT-Sentiment-Raw,0.015368341911173164,1.7050736070620238,1.4393672003910432,0.19956377102438363,0.5616438356164384,73,0.09249212129815332,0.11561515162269165,0.4624606064907666,,,,
factor_tests,FinBERT-Sentiment-IndustryNeutral,0.02119549034081136,2.227839583485936,1.7624280789835916,0.26074890062014366,0.5068493150684932,73,0.02901629287340035,0.07254073218350088,0.14508146436700176,,,,
factor_tests,FinBERT-Sentiment-FullNeutral,0.014527397526754703,1.5670849552676125,1.1936980399227088,0.18341342091831833,0.4931506849315068,73,0.12147963029927822,0.12147963029927822,0.6073981514963911,,,,
factor_tests,FinBERT-Sentiment-Consensus,0.018690360887165042,1.973542720793489,1.7893804556143351,0.2309857040822428,0.589041095890411,73,0.05227202119043639,0.08712003531739398,0.26136010595218195,,,,
factor_tests,FinBERT-Sentiment-NeutConsensus,0.023727246857508592,2.5037843038108294,2.0828294432243792,0.2930457872496846,0.589041095890411,73,0.01455466139898176,0.07254073218350088,0.0727733069949088,,,,
incremental_fm,,,,0.4174136703308212,,,70,,,,TextOnly,0.00028264000295916673,0.43074393790999693,0.0018045257103268652
incremental_fm,,,,0.36731582356524356,,,70,,,,Coverage,0.00024597238177634574,0.37967079353137556,0.00892340347766498
incremental_fm,,,,0.5692061290253357,,,70,,,,Style,0.00041463376964101707,0.5695821941031097,0.03267164982333495
incremental_fm,,,,0.36194609903394365,,,70,,,,Liquidity,0.0002754636200596715,0.38500661470699926,0.0343801823654981
incremental_fm,,,,0.5350223982501797,,,70,,,,AllControls,0.000440235937524676,0.5643480623597444,0.07721420329427715
window_robustness,Sentiment_on_fwd_excess_1d,0.00410711500973454,0.6893853419504179,0.8596166510997109,0.08068645128207366,0.5616438356164384,73,0.4927966328697,,,,,,
window_robustness,Sentiment_on_fwd_excess_2d,0.006330491735675073,1.012139991345963,0.9167901731015529,0.11846202571021318,0.5753424657534246,73,0.3148604456210329,,,,,,
window_robustness,Sentiment_on_fwd_excess_5d,0.015368341911173164,1.7050736070620238,1.4393672003910432,0.19956377102438363,0.5616438356164384,73,0.09249212129815332,,,,,,
window_robustness,Sentiment_on_fwd_excess_10d,0.005005395204201701,0.7285640731108677,0.8015279717782562,0.08527197492278149,0.4657534246575342,73,0.4686314753899259,,,,,,
window_robustness,Sentiment_on_fwd_excess_20d,-0.0025687551973083396,-0.38648780097038343,-0.40813024273657117,-0.04523497560288347,0.4520547945205479,73,0.7002752776799372,,,,,,
