report_date,stock_code,company_name,title,summary,sentiment_label,sentiment_score,gap_score
2020-10-22,1,平安银行,1-3Q2020业绩点评：3Q净利增速回升，源于资产质量改善反哺,平安银行发布三季报，公司1-3Q2020营收增13%至1166亿，净利降5.2%至224亿，其中3Q营收增8.8%至382亿，净利增6.1%至87亿。3Q利润增速转正，系公司在资产质量改善的背景下信用成本改善所致。从收入端来看，源于前三季度信贷放量，推升利息净收入实现近两位数增长。息差方面，继续回落。非息收入方面，基金销售向好及对公业务恢复推动手续费快速。资产质量方面，3Q有所改善，居民类信贷及企业类信贷质量均向好。展望未来，尽管银行业息差依旧有压力，不过在国内疫情基本得到控制的背景下，零售类贷款或继续边际改善，且对公贷款或持续受益于基建投资放量。综上而言，我们维持“买进”的投资建议。,neutral,-0.00030031402,0.09537244
2020-10-26,1,平安银行,平安银行：净利润增速回正，资产质量拐点已现,"事件： 平安银行发布三季报， 2020 年前三季度实现营业收入1165.64 亿元， 同比增长 13.2%；归母净利润 223.98 亿元,同比下滑5.2%。不良率 1.32%， 较上年末及三季度末下降 33BP；拨备覆盖率218.29%，较上年末提升 35.17 个百分点。
三季度净利润增速回正，拨备计提压力下降是主因。 前三季度归母净利润同比下降 5.2%，三季度单季同比增长 6.1%。三季度净利润增速较上季度有较大幅度的改善，拨备计提压力下降是主因。三季度确认信用减值损失 159 亿元，同比增长 15%，环比下降 29%。",neutral,0.00012859236,0.2015664
2020-12-01,1,平安银行,金融科技赋能，零售对公协同发展,"平安银行依托集团资源优势，零售转型成效显现，零售板块收入和税前利润贡献度已过半。同时随着公司对公业务调整逐步，存量资产质量包袱减轻，基本面改善明显，主营业务表现向好。公司 2019 年提出“对公做精”战略，与集团综合金融平台形成的协同效应值得期待。维持买入评级。
支撑评级的要点",neutral,-0.00025226857,1.0203416
2020-12-28,1,平安银行,积极进取的零售银行，受益于经济复苏，消费端回暖,"结论与建议：
平安银行在今年疫情冲击的大宏观环境下，业绩表现出一定的压力，但已经边际改善。从零售获客方面来看，在零售客户快速增长背景下做大AUM，从而派生海量的存款，实现其较低的负债端优势。展望未来，我们认为银行行业压力最大的时刻即将过去：1、逆周期调节背景下政策方面监管要求让利的条件将消退；2、货币政策回归正常化背景下，有利于银行资产端定价；3、我们认为，在经济企稳回升的背景之下，消费逐渐恢复，企业现金流改善，对银行行业零售和对公业务均有帮助。平安银行作为行业零售银行标杆，将充分受益于经济复苏及消费端回暖，并带来业绩弹性。综上而言，我们维持“买进”的投资建议。",neutral,-0.00034528054,0.054870784
2020-10-31,2,万科A,三季度结算略超预期,"事件
10月29日晚间，万科发布2020年三季度业绩，1-9月实现累计营业收入2414.9亿元，同比增长7.9%；权益净利润198.6亿元，同比增长8.9%。",neutral,-0.00010305879,0.11401451
2020-11-03,2,万科A,业绩稳健 土地储备充足 杠杆仍有下降空间,"事件描述： 公司发布 2020 年三季报， 前三季度，公司实现营业收入 2414.91亿元， 同比+7.85%；归母净利润 198.63 亿元，同比+8.89%；其中 Q3 实现营业收入 951.42 亿元，同比+12.47%；归母净利润 73.55 亿元，同比+14.94%。
事件点评：",neutral,-0.0076017897,0.59974396
2020-11-04,2,万科A,销售增速由负转正，物业公司更名彰显雄心,业绩总结：2020Q1-Q3公司实现营业收入2414.9亿元（+7.9%），其中，房地产开发业务收入为2139.1亿元（+7.4%），占总营收的88.6%；实现归母净利润198.6亿元（+8.9%），其中，公司2020Q3单季营收达951.4亿元（+12.5%），单季归母净利润达73.6亿元（+14.9%）。2020Q1-Q3房地产开发及相关资产经营业务收入的毛利率为22.9%。,neutral,-0.082207896,0.2970913
2020-11-05,2,万科A,三季报点评：业绩稳增长，拿地转进取,业绩稳健增长，结算结构拖累毛利率阶段性下滑。公司前三季度实现营业收入2414.9亿，同比+7.9%，实现归母净利润198.6亿，同比+8.9%。受结算结构及限价政策影响，期内房地产业务结算面积1725.0万方，同比+18.6%，结算均价12400元/平，同比-17.8%，拖累销售毛利率同比下降6.1pct至29.9%。截至期末公司已售未结资源达7248.8亿元，较上年末增长19.0%，覆盖去年地产业务结算收入2.1倍，未来业绩保障系数良好。,neutral,0.033006527,1.1857549
2020-10-30,21,深科技,业绩表现亮眼，大力加码存储封测,"一、事件概述
10月29日，公司公告2020年前三季度实现营收105.72亿元，同增4.81%，归母净利4.46亿元，同增62.25%。同时公告，公司非公开发行A股股票获中电集团批复。",neutral,-0.00021889809,0.051965654
2020-10-23,26,飞亚达,Q3利润创新高，继续看好公司后续业绩弹性,"一、事件概述
公司10月22日发布公告，前三季度归母净利2.15亿元，同比增20%；其中Q3实现归母净利1.37亿，同比增148%。",neutral,-0.00021680538,0.06659597
