token,coefficient,direction
同比增长,1.3040131033384552,positive
8,1.2954777144943892,positive
9亿元,1.2285319948731066,positive
同比下降,1.0588016309499673,positive
28,1.0203410316424253,positive
5亿元,0.9350747276905359,positive
01亿元,0.9179007390048018,positive
98,0.9171428907346947,positive
48,0.9096383701871326,positive
同时,0.8756650596582891,positive
4亿元,0.8736971203333573,positive
同比增长10,0.8448423308399097,positive
17亿元,0.8297474327847788,positive
83亿元,0.8177602798077981,positive
8亿元,0.81713537489016,positive
3,0.7657763501049342,positive
同比增长1,0.7648009526256296,positive
7个百分点,0.7634387615187845,positive
此外,0.7608475943651627,positive
吨,0.7546179760502018,positive
不良率1,0.7523589786799255,positive
同比增长19,0.7497646373706487,positive
3亿元,0.7483282600673485,positive
1亿元,0.7466762500098054,positive
84,0.7461539713762386,positive
6pct,0.7368345365759088,positive
归母净利润,0.7366146350141595,positive
2,0.7185748972908389,positive
同比增长5,0.6991625358208453,positive
88,0.6937837708842878,positive
同比增长3,0.6852975603723169,positive
18亿元,0.6820894062919808,positive
同比增长13,0.6710922100593917,positive
31亿元,0.6693130123128563,positive
15亿元,0.6690725927742571,positive
同比增长47,0.6666019571986348,positive
归母净利润7,0.6604503327937092,positive
03亿元,0.6577113745330498,positive
11亿元,0.6498000908183768,positive
03,0.6422982470733567,positive
同比增长16,0.6397209934174797,positive
95,0.6288218884998115,positive
34,0.6193405164893923,positive
25亿元,0.6032220861158243,positive
54亿元,0.5857759642201312,positive
58,0.5851080662341287,positive
同比增长14,0.574238388892318,positive
70,0.5701377822714988,positive
40,0.5687615756355129,positive
同比增长4,0.5622861461642116,positive
同比,-1.8367242621470516,negative
买入,-1.7442024654791988,negative
维持,-1.6629145100390723,negative
报告关键要素,-1.5433690658849273,negative
点评,-1.515292456850217,negative
公司发布公告,-1.377798683820071,negative
主要观点,-1.3118058272724076,negative
评级,-1.3077532066578117,negative
业绩符合预期,-1.276888978396425,negative
事件,-1.1602460345948913,negative
股权,-1.063058737526592,negative
月,-1.029177268406796,negative
yoy,-0.9485553550709934,negative
业绩符合市场预期,-0.9411260753171012,negative
业绩基本符合预期,-0.8264425240327583,negative
环比,-0.7953010803121061,negative
事件概述,-0.7889694055300175,negative
a,-0.7517840881498989,negative
符合市场预期,-0.7218470730710701,negative
分别同比,-0.708037694815999,negative
股,-0.7042686448057945,negative
26,-0.7002067287296033,negative
日,-0.6244488080815538,negative
to,-0.610363339019733,negative
69,-0.583522174160641,negative
1,-0.5522750970572682,negative
64亿元,-0.5380527201169802,negative
q1,-0.5270353310868228,negative
归母净利润3,-0.5210822832113369,negative
48亿元,-0.5140535763760125,negative
公司披露,-0.49734299129511156,negative
in,-0.4952198179394522,negative
基本符合预期,-0.4919403252894665,negative
实现基本每股收益0,-0.4624146366634323,negative
元,-0.45116958670944596,negative
of,-0.4403486889060696,negative
年,-0.438091947178044,negative
s,-0.4378110882855623,negative
54,-0.429284037864117,negative
实现归母净利润3,-0.4103433356223306,negative
2022年,-0.40889250880265515,negative
3亿,-0.4071467078045293,negative
业绩简评,-0.40706870963997055,negative
24,-0.3899257945528328,negative
on,-0.3871318776242122,negative
86亿元,-0.38670324216912894,negative
归母净利润1,-0.3865110252597289,negative
归母净利润2,-0.38101928610664904,negative
and,-0.3778960664517339,negative
亿,-0.3682774235452867,negative
